Job Title,Company Name,Location,Skills,Links,Salary,Responsibilities,Date of poste
Senior Python Developer,ElSewedy Electrometer ,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Python · C++ · Information Technology (IT) · Computer Science · SQL · Programming · Electronics,https://wuzzuf.net/jobs/p/brW4pKcR0hpu-Senior-Python-Developer-El-Sewedy-Electrometer-Giza-Egypt?o=22&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Experience programming using python using familiar frameworks (flask, django, web2py...) || Good SQL knowledge and database servers (MySQL, sqlite3...) || Good web ui programming skills (jquery/javascript, HTML5, CSS3, ...) || Good web services programming and understanding (sockets, HTTP, REST, SOAP, ...) || Good networking understanding and troubleshooting (TCP/IP, IPv4/6, DNS, DHCP, NTP, FTP ...) || C/c++ programming/developing (is a plus). || Linux OS understanding and basic administration (is a plus). || Familiar with standard web servers (Apache, Nginx ...)",1 month ago
Python Developer,OdooTec ,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · MVC · Information Technology (IT) · Computer Science · Python · Software Development,https://wuzzuf.net/jobs/p/tjkuCD9ALM4y-Python-Developer-OdooTec-Cairo-Egypt?o=23&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,1-2 years of experience,1 month ago
Python Developer,EXALT Technologies ,"Cairo, Egypt ",Full TimeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Computer Engineering · Information Technology (IT) · Python · Django · Design Patterns · Unit Testing,https://wuzzuf.net/jobs/p/gWxUbs9htHyu-Python-Developer-EXALT-Technologies-Cairo-Egypt?o=24&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Bachelor of Science degree in Computer Science or Computer Engineering. || Object-Oriented Analysis and design using common design patterns. || Proficiency in Python/Django || Experience in Relational Databases, SQL and ORM technologies || Building and designing RESTFul APIs. || Unit testing and continuous integration. || Ability to write clean, readable and quality code. || Team player among an elite dynamic R&D group",1 month ago
Backend Engineer - Python/Django,Paymob Solutions ,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Python · Django · AWS · Web Services · Computer Science · Software Development,https://wuzzuf.net/jobs/p/LKILwV3KFlTy-Backend-Engineer---PythonDjango-Paymob-Solutions-Cairo-Egypt?o=25&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,Minimum 2 years of solid experience as a Python Developer. || Experience with Python framework Django for at least 2 years as well. || Working in enterprise apps || Experience with Amazon Web Services (AWS) || Solid experience of databases and SQL || Experience with PostgreSQL || Knowledge of JavaScript and the ReactJS framework is a plus || Experience with consuming REST APIs/JSON,1 month ago
Senior Backend Developer,Div Systems ,"Mokattam, Cairo, Egypt ",Full TimeExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Microsoft TFS · JIRA · Github · Python · Django Framework · Communication skills · Computer Science · Information Technology (IT),https://wuzzuf.net/jobs/p/1vo1AFllEoTH-Senior-Backend-Developer-Div-Systems-Cairo-Egypt?o=26&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Extensive experience in agile methodologies (TFS, JIRA, GitHub, Python, Django) relevant software such as Postgres, MS SQL Server, and experience in react is an asset || Proven experience with application architecture || Proven knowledge of design patterns, distributed systems, and integration testing || Excellent project management, problem-solving and high-level verbal and written communication skills",2 months ago
Fullstack Engineer (Remote),Gemography ,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Node.js · MongoDB · React.js · HTML5 · CSS · Sass · Gulp.js,https://wuzzuf.net/jobs/p/VmKzJzYQsq6T-Fullstack-Engineer-Remote-Gemography-Cairo-Egypt?o=27&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"3+ years of full-time work experience in software engineering or related domains. || Proficiency in one or more backend server languages (Ruby/Python/Javascript/etc.) || Comfortable working with multiple database systems and architectures (SQL, NoSQL) || Proficiency with front-end languages such as HTML, CSS, and Typescript/Javascript || Strong analytical and problem-solving abilities || Exceptional attention to detail and focus on quality || Strong communication skills and interpersonal skills || Prior experience working with a globally distributed team is a plus",2 months ago
Senior Full Stack Developer,Div Systems ,"Mokattam, Cairo, Egypt ",Full TimeExperienced · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django Framework · React js · SQL Server · SQL datasets · Information Technology (IT) · Computer Science · Django,https://wuzzuf.net/jobs/p/xe6h3M7ICMmZ-Senior-Full-Stack-Developer-Div-Systems-Cairo-Egypt?o=28&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Strong knowledge of Python:( Python, Django) || Understanding of front-end technologies, such as HTML5, and CSS3. || Understanding of accessibility and security compliance || Experience working with SQL datasets || Able to create database schemas that represent and support business processes || Bonus points if you have experience with: Node.js, Machine Learning / Big Data / Blockchain, and High Traffic / Real-Time Web Applications.",2 months ago
Odoo Developer,Confidential ,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML · Odoo Development · Odoo · Odoo ERP · python development · Python · Software Development · Software Engineering,https://wuzzuf.net/jobs/p/fz8pNyK9ZYRm-Odoo-Developer-Cairo-Egypt?o=29&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Minimum of 3 year of experience in Odoo development . || Excellent knowledge of web development languages (HTML, CSS, JavaScript, JQuery). || Knowledge of Python development frameworks & Linux system || Knowledge of frontend development languages is a great plus, Software development life cycle in an Agile environment. || Ability to learn fast and execute accordingly. || Outstanding communication and interpersonal abilities || Patience and professionalism || Reliability and discretion: you will often learn of confidential matters || Communication, negotiation and relationship-building skills || Excellent time management skills and the ability to prioritize work || Attention to detail and problem-solving skills || Excellent written and verbal communication skills || Strong organizational skills with the ability to multi-task || Experience in integrating Odoo with Other Business Systems. || Must Have Strong knowledge of Core Python and programming concepts",12 days ago
Odoo Developer,Knowledge BI ,"Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · males_preferred · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Programming · Odoo · Development · Python · Information Technology (IT) · jQuery · JavaScript,https://wuzzuf.net/jobs/p/2zVJ28imB3kS-Odoo-Developer-Knowledge-BI-Cairo-Egypt?o=30&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Working experience with Python || At least 2 years of experience of Odoo development specifications || Strong debugging and troubleshooting skills || Strong Technical Knowledge in Object-Oriented Programming Concepts and data structures. || Develop apps/features || Understand Relational databases || Working experience with relational database design and modeling || Working experience with relational database management systems (PostgreSQL,) || Expertise in HTML, XML, JavaScript, and JQuery. || Solid expertise with GIT or equivalent source control system. || Good knowledge of business processes. || Experience in setup Odoo servers & databases. || Experience in data migration in Odoo || Object-oriented programming, object modeling, and relational database || Quick & Autonomous learner || Good speaking &understanding of English  reading & writing",9 days ago
Full Stack (Growth) Engineer,Studygram Worldwide ,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 0 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Computer Science · Marketing · Social Media · HTML · CSS · APIs · MySQL,https://wuzzuf.net/jobs/p/BfWwHW1F4LLX-Full-Stack-Growth-Engineer-Studygram-Worldwide-Cairo-Egypt?o=31&l=sp&t=sj&a=python|search-v3|hpb,Experience Needed:,"Bachelor degree in computer science or computer engineering || 0 - 5 years experience will be considered || Excellent analytical and problem-solving skills || Strong Communication Skills || Proficient knowledge in JavaScript, HTML, and CSS (Python is plus) || Proficient knowledge in MYSQL database design and administration || Proficient knowledge in RESTful APIs and webhooks || Experience in developing web applications in PHP is a plus",5 days ago
